date_unix,date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Game Week,Match FootyStats URL
1772060760,Feb 25 2026 - 11:06pm,Esports,Esoccer Battle,Sporting (Kodak),Vitoria SC (Kray),1.00,1.33,1.00,1.25,5.17,84,100,100,100,84,67,100,100,0,0,5.67,0.00,0,0,0,complete,3,3,5,5,-1,-1,-1,-1,-1,-1,3,3,3,3,0,0,-1,-1,3.30,4.50,1.70,N/A,N/A,N/A,N/A,N/A,N/A,0.40,0.35,0.40,0.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,17,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,N/A,N/A,N/A,0.83,1.86,0,/esports/sporting-kodak-vs-vitoria-sc-kray-h2h-stats#8479749
1772060760,Feb 25 2026 - 11:06pm,Esports,Esoccer Battle,Benfica (hotShot),Braga (GianniKid),0.33,2.00,1.00,1.50,5.50,84,100,100,100,100,84,100,100,0,0,2.67,0.00,0,0,0,complete,4,3,1,0,-1,-1,-1,-1,-1,-1,4,2,4,2,0,0,-1,-1,2.15,4.40,2.37,N/A,N/A,N/A,1.95,N/A,N/A,0.22,0.40,0.53,0.26,N/A,N/A,N/A,N/A,1.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,N/A,N/A,N/A,0.67,2.17,0,/esports/benfica-hotshot-vs-braga-giannikid-h2h-stats#8479750
1772060880,Feb 25 2026 - 11:08pm,Esports,Esoccer Battle,Argentina (nekishka),Spain (Kavviro),3.00,1.33,3.00,1.00,3.83,100,100,100,84,84,17,100,100,0,0,3.00,1.00,0,0,0,complete,4,1,2,2,-1,-1,-1,-1,-1,-1,4,1,4,1,0,0,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.40,0.22,0.53,0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,17,17,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,3.00,1.60,0,/esports/argentina-nekishka-vs-spain-kavviro-h2h-stats#8479747
1772060880,Feb 25 2026 - 11:08pm,Esports,Esoccer Battle,France (volvo),Germany (Grellz),0.00,3.00,1.50,1.50,3.00,100,100,100,100,0,0,100,100,0,0,7.00,2.00,0,0,0,complete,3,1,3,1,-1,-1,0,1,0,0,3,1,3,1,0,0,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.13,0.26,0.40,0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,0.20,0.80,0,/esports/germany-grellz-vs-france-volvo-h2h-stats#8479748
1772061300,Feb 25 2026 - 11:15pm,Honduras,Liga Nacional de Fútbol Profesional de Honduras,Juticalpa,Motagua,1.19,1.59,1.15,1.63,3.11,59,95,82,55,40,22,75,48,84,49,10.79,2.82,78,69,53,complete,1,2,0,6,-1,-1,-1,-1,-1,-1,7,8,3,6,4,2,35,65,4.60,3.75,1.62,1.19,1.80,2.78,5.25,1.65,2.03,1.12,1.41,0.75,1.12,11.00,3.78,1.97,1.36,1.09,1.22,N/A,1.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,18,46,60,78,1.32,2.56,5.80,3.05,1.41,1.11,1.18,1.93,3.90,4.30,1.80,1.22,N/A,N/A,N/A,N/A,32,N/A,N/A,N/A,1.19,1.59,8,/honduras/cd-motagua-vs-juticalpa-fc-h2h-stats#8436665
1772061480,Feb 25 2026 - 11:18pm,Esports,Esoccer Battle,FC Porto (Inquisitor),Benfica (hotShot),1.33,1.00,1.00,1.50,5.17,100,100,100,100,84,84,100,100,17,0,3.67,0.00,0,0,0,complete,1,3,4,2,-1,-1,-1,-1,-1,-1,1,3,1,3,0,0,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.31,0.31,0.13,0.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,17,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,1.43,1.00,0,/esports/benfica-hotshot-vs-fc-porto-inquisitor-h2h-stats#8479757
1772061480,Feb 25 2026 - 11:18pm,Esports,Esoccer Battle,Braga (GianniKid),Sporting (Kodak),2.33,0.67,2.50,0.50,5.67,100,100,100,100,100,100,100,100,17,0,2.00,0.00,0,0,0,complete,5,3,3,1,-1,-1,-1,-1,-1,-1,5,3,5,3,0,0,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.44,0.35,0.66,0.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,1.86,0.86,0,/esports/sporting-kodak-vs-braga-giannikid-h2h-stats#8479758
1772061686,Feb 25 2026 - 11:21pm,Esports,Esoccer Battle,Juventus (Kavviro),Sassuolo (volvo),0.00,0.00,2.00,1.17,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,4,1,2,1,-1,-1,-1,-1,-1,-1,4,1,4,1,0,0,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.53,0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,0.00,0,/esports/juventus-kavviro-vs-sassuolo-volvo-h2h-stats#8479780
1772061687,Feb 25 2026 - 11:21pm,Esports,Esoccer Battle,Roma (Grellz),Bologna (nekishka),0.00,0.00,0.00,3.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,1,4,0,1,-1,-1,-1,-1,-1,-1,1,4,1,4,0,0,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.13,0.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,0.00,0,/esports/bologna-nekishka-vs-roma-grellz-h2h-stats#8479779
1772062200,Feb 25 2026 - 11:30pm,Paraguay,Division Profesional,Sportivo Trinidense,Sportivo Luqueño,1.50,1.50,1.43,1.43,2.33,59,92,67,42,17,17,50,25,83,50,7.17,5.33,34,34,17,complete,1,1,3,3,2,5,0,1,0,0,12,13,4,3,8,10,35,65,2.30,3.00,3.00,1.38,2.20,3.55,6.50,1.91,1.80,1.40,1.17,1.11,1.14,6.65,2.62,1.68,1.20,1.07,1.36,N/A,1.50,N/A,N/A,1.28,1.58,1.97,2.45,3.48,3.04,2.20,1.76,1.46,1.28,9,34,58,83,83,1.49,3.20,8.00,2.36,1.31,1.02,1.33,2.45,6.00,3.00,1.50,1.11,N/A,N/A,N/A,N/A,0,2.00,6.15,2.27,1.50,1.50,7,/paraguay/club-sportivo-luqueno-vs-club-sportivo-trinidense-h2h-stats#8428647
